,0,1,2
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,"Don't miss CoinDesk's Consensus 2022, the must-attend crypto & blockchain festival experience of the year in Austin, TX this June 9-12.Good morning. Here’s what’s happening:Prices: Cryptos climbed late in the day, but not enough to dispel the prolonged bearish sentiment.Insights: Indian crypto investors receive some upbeat news.Technician's take: BTC continues to trade at about $30,000 as indicators remain neutral.Catch the latest episodes of CoinDesk TV for insightful interviews with crypto industry leaders and analysis. And sign up for First Mover, our daily newsletter putting the latest moves in crypto markets in context.Bitcoin (BTC): $30,600 +2.4%Ether (ETH): $1,842 +0.3%AssetTickerReturnsDACS SectorInternet ComputerICP+25.7%ComputingCardanoADA+6.2%Smart Contract PlatformStellarXLM+4.7%Smart Contract PlatformThere are no losers in CoinDesk 20 today.Bitcoin Climbs Late, but the Mood Remains BearishA late afternoon surge on Thursday carried bitcoin past $30,000, but the mood among cryptocurrency investors remained pessimistic.The largest crypto by market capitalization was recently trading at about $30,600, a more than 2% gain over the previous 24 hours. Ether was changing hands at just above $1,800, up slightly for the same period. Most other major cryptos rose late with ADA recently rising nearly 6%, and APE up over 4%. Trading was choppy as investors continued to shy away from riskier assets – their behavior a product of inflationary and recessionary fears that have mushroomed steadily this year.""Bitcoin will get its groove back once bearish sentiment on Wall Street improves, but that will likely take several more weeks,"" Oanda senior markets analyst Edward Moya wrote in an email.Stocks rose as the tech-heavy Nasdaq jumped 2.6%, the S&P 500 climbed 1.8% and the Dow Jones Industrial Average gained 1.2%. Gold, a traditional safe haven in down markets, increased by more than a percentage point, underscoring the current uncertainty among investors.The Organization of Petroleum Exporting Countries and allied countries said that they would boost the supply of oil by an unexpectedly large amount. The U.S. and other countries had been pressing the organization to loosen its current limits to help lower energy prices. The price of Brent crude oil, which is a widely watched measure of energy markets, rose to $118 per barrel, a more than 53% spike since the start of the year.The looming prospect of recession continued to ripple through the technology sector on Thursday with Microsoft (MSFT) ratcheting back its earnings and sales projections for the current quarter. Amazon (AMZN) and Netflix (NFLX), among others, reported weak first-quarter financial results last month, noting the effects of Russia's invasion of Ukraine and unsettling macroeconomic conditions.The crypto industry has also felt the impact of the current, dour economic mood with crypto exchange Coinbase announcing in a blog post by Chief People Officer L.J. Brock, that it would ""extend our hiring pause for both new and backfill roles for the foreseeable future and rescind a number of accepted offers."" The move came a just hours after crypto exchange and custodian Gemini, the brainchild of billionaire twins Cameron and Tyler Winklevoss, said it would lay off 10% of its workforce, about 100 employees.The crypto industry is in a “contraction phase that is settling into a period of stasis,” also known as a “crypto winter,” the twins wrote in a blog post.Oanda's Moya noted that investors' ""risk appetite"" will depend on ""expectations"" of what the U.S. central bank ""will do beyond the summer.""""Bitcoin is forming a base but most traders are still licking their wounds,"" he wrote. ""If bitcoin can recapture the $33,500 level, that is what is needed for technical buying to get triggered.""S&P 500: 4,176 +1.8%DJIA: 33,248 +1.3%Nasdaq: 12,316 +2.6%Gold: $1,868 +1.2%Upbeat News for Indian Crypto InvestorsIndia's crypto investors had some upbeat news for a change with trading platform CoinSwitch Kuber's announcement on Thursday that it had launched a rupee-denominated index to provide real-time information on the performance of the eight largest cryptocurrencies by market capitalization.The Crypto Rupee Index (CRE8) is a first in the Indian market, which has previously had to ""rely on the international indices based on the US Dollar,"" CoinSwitch Kuber CEO and co-founder Ashish Singhal tweeted. ""But these indices do not give the true picture of the Indian market and miss the supply-demand dynamics of India’s growing investor base,"" he added.CoinSwitch Kuber is among the country's largest crypto exchanges with a self-reported 18 million users of its app. Its investors include venture capital heavyweights Andreessen Horowitz (a16z), Coinbase Ventures, Tiger Global and Sequoia Capital.The announcement follows a difficult few months for the digital assets industry in India, despite the country's growing appetite for cryptocurrencies. In April, Indians began paying a 30% capital gains tax on crypto transactions after Parliament passed a controversial tax law. The legislation, which the industry vehemently opposed, will also require crypto investors in the country to pay a 1% tax deducted at source, as well as taxes on crypto gifts, with no ability to take deductions for losses, starting on July 1.Trading volumes plunged on major Indian exchanges in the days after the capital gains tax went into effect with at least one analyst predicting that they would not return to pre-tax law levels. The industry was subsequently rocked by the rough launch of Coinbase's crypto trading services in the country.CoinSwitch Kuber said that CRE8 will be refreshed over 1,400 times a day to ensure it reflects real-time market movement, and that it will track eight crypto assets that represent over 85% of the total market capitalization of the crypto market traded in Indian rupees.Singhal noted Indian investors' demand for better crypto services and information. ""#CRE8 is a demonstration of our commitment to bring more transparency to the Indian crypto market and equip users with a simple, easy-to-understand measure of the Indian market. Indian investors and market observers no longer have to second-guess how the Indian Crypto market is behaving,"" Singhal tweeted.Bitcoin Stabilizes in Tight Trading Range, Resistance at $33KBitcoin held initial support near $29,300, which was where an upswing in price originated over the past weekend. As of Thursday afternoon, the cryptocurrency remained in a tight intraday range, with a midpoint at $30,100. That's where the most trading volume occurred over the past two weeks. For now, BTC's price could continue to revert to that midpoint level until a decisive breakout or breakdown is confirmed.Upside appears to be limited at between the $33,000-$35,000 resistance zone, especially as momentum signals remain negative on long-term charts.Still, momentum remains positive on the daily chart, which could keep short-term buyers active. The 14-day relative strength index (RSI) will need to return above the 50 neutral mark to sustain a recovery bounce in price.Blockchain Fest Singapore 20224 p.m. HKT/SGT(8 a.m. UTC) Eurostat S&P PMI (May)8:30 p.m. HKT/SGT(12:30 p.m. UTC) U.S. unemployment rate (May)In case you missed it, here is the most recent episode of ""First Mover"" on CoinDesk TV:Alchemy Expands to the Solana Ecosystem: The company, valued at $10.2 billion, will support developers who seek to build on the chain.Canonical Crypto Launches $20M Inaugural Fund Backed by Marc Andreessen, Chris Dixon: The early-stage fund will invest in infrastructure projects for blockchain developers.DeFi 'Casino' May Need New Global Regulator, German Central Banker Says: Joachim Wuermeling dismissed decentralized finance as a ""casino"" as the Financial Stability Board prepares a rulebook for the crypto sector.Crypto Custody Firm Qredo Adds Blockchain Analytics to FATF ‘Travel Rule’ Offering: Qredo is bringing its APIs to bear on the global push for crypto AML compliance.Solana Halted by Bug Linked to Certain Cold Storage Transactions: Validators restarted the network after four hours of downtime by disabling the so-called “durable nonce transactions” that have found favor among some exchanges.How to Make Money From the Crypto Backlash: Welcome to the hype-disappointment-devastation-education-conviction-hype cycle.Today's crypto explainer: 4 Things to Do in a Crypto Bear MarketOther voices: SPACs Were All the Rage. Now, Not So Much. (The New York Times)""Malaysian chicken exporters this week scrambled to deliver their last batches of fresh chickens across the border to neighboring Singapore, ahead of an export ban that took effect at midnight on Wednesday."" (South China Morning Post) ... ""Saudi Arabia has indicated to Western allies that it is prepared to raise oil production should Russia’s output fall substantially under the weight of sanctions, according to five people familiar with the discussions."" (The Financial Times) ... ""The Biden administration on Wednesday defended its decision to send advanced multiple-launch rocket systems to Ukraine, rejecting criticism that the decision comes too late to make a difference while brushing aside the Kremlin’s complaint that the United States is prolonging the war."" (The Washington Post)After a week of announcements in NSW to improve the affordability of childcare and early learning, today Victorian parents are getting a turn. Here’s how much families in Victoria will save.The total value of Australia's property market is now five times bigger than Australia’s GDP. This is what it means.The Australian Taxation Office is cracking down on these rule-breakers and providing helpful tips to avoid getting caught out. Here’s what you need to know.Companies have been competing fiercely for skilled workers due to widespread labour shortages. Here’s how far they’ve been willing to go.Woolies and other big businesses will roll out the $40 wage hike in July, but smaller retailers are nervous. Here's why.New financial year, new tax settings. Here are all the policy changes that will kick in on July 1.On 28 April 2022, Etherstack Plc (ASX:ESK) announced that it had established a CHESS Depositary Interest (CDI) Sale Facility for holders of less than a marketable parcel of CDIs in the Company (Facility).Nova Minerals Limited (ASX:NVA) (FRA:QM3) (OTCMKTS:NVAAF) is excited to announce that following the construction of drill pads over the last few weeks, drilling has now recommenced at the high-grade RPM deposit as the Company progresses the development of its flagship Estelle Gold Project in Alaska.The S&P; 500 has rallied to snap a five-session losing skid after a policy announcement by the Federal Reserve that raised interest rates to market expectations as the US central bank seeks to fight rising inflation without sparking a recession.The Federal Reserve raised its target interest rate by three-quarters of a percentage point - its biggest rate hike since 1994 - and projected a slowing economy and rising unemployment in the months to come.It may be best to wait a couple of weeks to lodge your tax return if you received Centrelink payments in the past 12 months. Here’s what you need to know.Breast enhancements, gnomes, pet food: These are some of the wildest tax returns taxpaying Aussies have tried to claimDeep Yellow Limited (ASX:DYL) (FRA:JMI) (OTCMKTS:DYLLF) is pleased to announce it has agreed to extend the current 12-month option existing on the Exclusivity Agreement with HyIron Green Technologies (Pty) Ltd.A recession in the United States seems almost inevitable, but does that mean Australia will follow suit. Here’s what the experts are saying.While variable rates are currently being lifted, fixed-rate holders have been warned they are not immune to interest rate hikes. This is what you need to know.The local market is expected to extend losses this morning after Wall Street had another negative session overnight. This is your Friday morning wrap.The Government will start recovering welfare debts that were paused during COVID and natural disasters. Here’s why.Property investors are not immune to rising interest rates, but falling house prices could actually benefit some of them. Here are the suburbs they should be looking at.Clean lithium developer Lake Resources NL (ASX:LKE) (FRA:LK1) (OTCMKTS:LLKKF) advises that it has appointed two leading project finance institutions, Citi and J.P. Morgan, as Joint Coordinators, for the Kachi Lithium Project.US stock indexes have closed sharply lower in a broad sell-off as recession fears grow following moves by central banks around the globe to stamp out rising inflation after the Federal Reserve's largest rate hike since 1994.The benchmark S&P; 500 suffered its sixth decline in seven sessions.ANZ has updated its forecast for the housing market’s decline. Here’s how far it expects the market to drop.","Don't miss CoinDesk's Consensus 2022, the must-attend crypto & blockchain festival experience of the year in Austin, TX this June 9-12.Bitcoin (BTC) was roughly flat on Thursday as trading conditions remained choppy across the crypto market.Technical indicators have been neutral throughout the past week as BTC traded at about $30,000. Meanwhile, some alternative cryptocurrencies (altcoins) are outperforming BTC, which could encourage some buyers to return from the sidelines.Internet Computer's ICP token rallied by as much as 20% over the past 24 hours, while Cardano's ADA token was up by 4% over the same period. Meanwhile, Solana's SOL token was down by 2% over the past 24 hours after a network outage on Wednesday.Just launched! Please sign up for our daily Market Wrap newsletter explaining what happens in crypto markets – and why.On the regulatory front, the Commodity Futures Trading Commission sued Gemini Trust Co. Thursday, alleging the crypto exchange’s staff misled the federal regulator during Gemini’s effort in 2017 to start trading of what would have been a landmark bitcoin futures contract. CoinDesk's Nik De has the latest here.The Gemini case highlights concerns about exchange data and potential market manipulation. For example, the U.S. Securities and Exchange Commission has continuously struck down proposals for a spot-based bitcoin exchange-traded fund, citing issues related to volatility, fraud and price manipulation.●Bitcoin (BTC): $30,300, +0.90%●Ether (ETH): $1,823, +0.35%●S&P 500 daily close: 4,177, +1.84%●Gold: $1,873 per troy ounce, +1.62%●Ten-year Treasury yield daily close: 2.91%Bitcoin, ether and gold prices are taken at approximately 4pm New York time. Bitcoin is the CoinDesk Bitcoin Price Index (XBX); Ether is the CoinDesk Ether Price Index (ETX); Gold is the COMEX spot price. Information about CoinDesk Indices can be found at coindesk.com/indices.The chart below shows a dip in the number of active entities and addresses on the Bitcoin blockchain, similar to what occurred during the 2018 crypto bear market.There was a brief upswing in blockchain activity as investors scrambled to post margin and cover positions during the LUNA-inspired sell-off, which some analysts viewed as an early sign of capitulation. That spike in activity, however, was short-lived.""The recent sell-off and lower prices has not yet inspired an influx of new users to the space,"" Glassnode wrote in a blog post.Meanwhile, existing entities on the network (possibly long-term holders) have been accumulating additional BTC on price dips, especially over the past two weeks. Still, the level of accumulation has been minor relative to previous phases.Bitcoin miners have been distributing their holdings of BTC during the recent sell-off, albeit at a slower pace compared with earlier this year. Still, it is unclear if the miners' position changes will lead or react to BTC price swings.The chart below shows the 30-day change of BTC supply held in miner addresses, according to data compiled by Glassnode.Solana outage: The Solana network suffered its latest outage Wednesday, felled for over four hours by a bug in how the blockchain processes a niche type of transaction that’s designed for offline use cases. Validators began restarting the network only after disabling these “durable nonce transactions,” Solana Labs communications chief Austin Federa told CoinDesk. Solana's SOL token is down by 9% over the past week, compared with a 3% rise in BTC over the same period. Read more here.Staked ether discount: Staked ether (stETH), a token from the Lido protocol that's supposed to trade at a price close to ether (ETH), has been changing hands at a sustained discount since the collapse of the Terra network – possibly a signal that liquidity has dried up in crypto markets. “At this point, there’s no new money coming into crypto,” Fundstrat analyst Walter Teng told CoinDesk in a Telegram chat. Read more here.Alchemy expands to Solana ecosystem: Alchemy is expanding its services to the Solana ecosystem, the Web 3 developer platform said on Thursday. The beta version is now live for users to sign up and will be released to the wider public in the coming weeks, according to a press release. Popular Web 3 products, such as OpenSea, Aave and 0x, were developed through Alchemy. Read more here.U.S. Labor Department Sued After Warning 401(k) Providers About Allowing Crypto Investments: The plaintiff, 401(k) provider ForUsAll, is concerned the guidance sets a “troubling precedent” that could lead to a slippery slope of future bans.Winklevoss-Led Gemini Cuts 10% of Staff, Citing ‘Turbulent’ Crypto Market: Gemini cited the cryptocurrency downturn along with macroeconomic market conditions.Middle Eastern Crypto Exchange Rain Lays Off Dozens of Employees: Report: The move follows news of workforce reductions at a number of exchanges in the U.S. and worldwide.Indian Exchange CoinSwitch Kuber Unveils Crypto Rupee Index: The Crypto Rupee Index (CRE8) will track the performance of the eight biggest crypto assets denominated in Indian rupees instead of the U.S. dollar.DeFi 'Casino' May Need New Global Regulator, German Central Banker Says: Joachim Wuermeling called for immediate discussions on how to treat DeFi as the Financial Stability Board prepares a rule book for the crypto sector.Bear Market Could See Some Crypto Miners Turning to M&A for Survival: Companies that have already survived the previous down market and have enough capital and a sound business strategy will be able to survive this cycle.Most digital assets in the CoinDesk 20 ended the day lower.AssetTickerReturnsDACS SectorInternet ComputerICP+19.7%ComputingCardanoADA+5.1%Smart Contract PlatformPolkadotDOT+3.6%Smart Contract PlatformAssetTickerReturnsDACS SectorBitcoin CashBCH−1.5%CurrencySolanaSOL−1.3%Smart Contract PlatformXRPXRP−0.7%CurrencySector classifications are provided via the Digital Asset Classification Standard (DACS), developed by CoinDesk Indices to provide a reliable, comprehensive and standardized classification system for digital assets. The CoinDesk 20 is a ranking of the largest digital assets by volume on trusted exchanges.Woolies and other big businesses will roll out the $40 wage hike in July, but smaller retailers are nervous. Here's why.After a week of announcements in NSW to improve the affordability of childcare and early learning, today Victorian parents are getting a turn. Here’s how much families in Victoria will save.The total value of Australia's property market is now five times bigger than Australia’s GDP. This is what it means.On 28 April 2022, Etherstack Plc (ASX:ESK) announced that it had established a CHESS Depositary Interest (CDI) Sale Facility for holders of less than a marketable parcel of CDIs in the Company (Facility).The S&P; 500 has rallied to snap a five-session losing skid after a policy announcement by the Federal Reserve that raised interest rates to market expectations as the US central bank seeks to fight rising inflation without sparking a recession.The Federal Reserve raised its target interest rate by three-quarters of a percentage point - its biggest rate hike since 1994 - and projected a slowing economy and rising unemployment in the months to come.Companies have been competing fiercely for skilled workers due to widespread labour shortages. Here’s how far they’ve been willing to go.Deep Yellow Limited (ASX:DYL) (FRA:JMI) (OTCMKTS:DYLLF) is pleased to announce it has agreed to extend the current 12-month option existing on the Exclusivity Agreement with HyIron Green Technologies (Pty) Ltd.It may be best to wait a couple of weeks to lodge your tax return if you received Centrelink payments in the past 12 months. Here’s what you need to know.Nova Minerals Limited (ASX:NVA) (FRA:QM3) (OTCMKTS:NVAAF) is excited to announce that following the construction of drill pads over the last few weeks, drilling has now recommenced at the high-grade RPM deposit as the Company progresses the development of its flagship Estelle Gold Project in Alaska.While variable rates are currently being lifted, fixed-rate holders have been warned they are not immune to interest rate hikes. This is what you need to know.US stock indexes have closed sharply lower in a broad sell-off as recession fears grow following moves by central banks around the globe to stamp out rising inflation after the Federal Reserve's largest rate hike since 1994.The benchmark S&P; 500 suffered its sixth decline in seven sessions.The Australian Taxation Office is cracking down on these rule-breakers and providing helpful tips to avoid getting caught out. Here’s what you need to know.Breast enhancements, gnomes, pet food: These are some of the wildest tax returns taxpaying Aussies have tried to claimNew financial year, new tax settings. Here are all the policy changes that will kick in on July 1.A recession in the United States seems almost inevitable, but does that mean Australia will follow suit. Here’s what the experts are saying.The local market is expected to extend losses this morning after Wall Street had another negative session overnight. This is your Friday morning wrap.That torn bank note in your wallet is not worthless. Here’s how you can get reimbursed for your damaged cash.The Government will start recovering welfare debts that were paused during COVID and natural disasters. Here’s why.The local market is expected to have a positive start to the day after Wall Street snapped its losing streak overnight. This is your Thursday morning wrap.ANZ has updated its forecast for the housing market’s decline. Here’s how far it expects the market to drop.",
7,,,
8,,,
9,,,
10,,,
